0.000|35.4143|35.4143|50.8800|50.8800|66.3457|66.3457|66.3457|66.3457|51.5895|51.5895|36.8333|36.8333|61.2577|61.2577|85.6821|85.6821|98.0544|98.0544|103.7794|103.7794|72.4836|72.4836|14.1816|14.1816|11.1107|11.1107|11.4007|11.4007|18.1751|18.1751|21.9089|21.9089|18.4067|18.4067|18.1641|18.1641|12.6843|12.6843|9.3884|9.3884|9.8717|9.8717|5.9306|5.9306|8.1610|8.1610|6.4020|6.4020|7.8792|7.8792|5.0370|5.0370|3.0101|3.0101|1.9079|1.9079|1.4817|1.4817|0.8558|0.8558
0.023|3.1606|3.1606|5.4516|5.4516|7.7427|7.7427|7.7427|7.7427|46.3595|46.3595|84.9763|84.9763|170.8421|170.8421|256.7079|256.7079|157.1360|157.1360|61.4298|61.4298|33.3479|33.3479|11.1911|11.1911|6.5145|6.5145|5.6187|5.6187|4.1722|4.1722|4.4480|4.4480|3.7041|3.7041|6.2296|6.2296|3.3206|3.3206|2.6355|2.6355|2.1295|2.1295|1.3971|1.3971|2.2334|2.2334|2.1366|2.1366|2.1761|2.1761|1.3512|1.3512|0.9135|0.9135|0.4940|0.4940|0.2735|0.2735|0.1576|0.1576
0.046|34.7099|34.7099|60.7779|60.7779|86.8459|86.8459|86.8459|86.8459|152.3589|152.3589|217.8719|217.8719|149.2918|149.2918|80.7117|80.7117|92.1184|92.1184|91.8489|91.8489|47.8958|47.8958|30.2742|30.2742|16.4269|16.4269|10.4285|10.4285|11.4252|11.4252|7.1954|7.1954|7.1971|7.1971|6.2352|6.2352|4.0317|4.0317|3.7825|3.7825|3.4678|3.4678|2.2615|2.2615|3.0045|3.0045|2.8637|2.8637|2.5626|2.5626|1.8368|1.8368|1.3954|1.3954|0.7504|0.7504|0.4990|0.4990|0.4553|0.4553
0.070|6.1292|6.1292|34.7178|34.7178|63.3065|63.3065|63.3065|63.3065|124.0269|124.0269|184.7473|184.7473|126.2184|126.2184|67.6896|67.6896|47.3860|47.3860|27.7388|27.7388|20.4182|20.4182|9.7361|9.7361|6.0197|6.0197|3.9472|3.9472|4.2831|4.2831|3.5611|3.5611|2.3273|2.3273|4.0604|4.0604|3.7242|3.7242|3.2389|3.2389|2.5208|2.5208|1.8675|1.8675|2.2587|2.2587|2.5683|2.5683|2.3088|2.3088|1.6352|1.6352|1.1548|1.1548|0.5644|0.5644|0.3320|0.3320|0.2491|0.2491
0.093|14.3166|14.3166|24.5060|24.5060|34.6953|34.6953|34.6953|34.6953|40.2020|40.2020|45.7087|45.7087|88.4527|88.4527|131.1967|131.1967|82.4987|82.4987|22.7277|22.7277|7.8003|7.8003|3.6853|3.6853|4.4548|4.4548|1.9474|1.9474|3.1075|3.1075|2.8660|2.8660|1.5776|1.5776|5.5877|5.5877|1.9648|1.9648|2.6783|2.6783|2.9062|2.9062|1.9940|1.9940|2.7761|2.7761|2.4305|2.4305|2.1958|2.1958|1.4198|1.4198|1.0194|1.0194|0.5070|0.5070|0.2934|0.2934|0.1652|0.1652
0.116|37.3910|37.3910|47.7173|47.7173|58.0435|58.0435|58.0435|58.0435|82.9215|82.9215|107.7994|107.7994|148.4184|148.4184|189.0374|189.0374|113.0404|113.0404|21.8042|21.8042|10.5739|10.5739|3.2073|3.2073|1.7037|1.7037|1.1976|1.1976|2.4201|2.4201|2.3538|2.3538|1.9472|1.9472|2.4534|2.4534|1.9568|1.9568|2.3408|2.3408|2.1058|2.1058|1.4085|1.4085|1.8236|1.8236|1.9923|1.9923|1.7858|1.7858|0.9990|0.9990|0.8005|0.8005|0.3394|0.3394|0.2208|0.2208|0.0987|0.0987
0.139|48.7746|48.7746|56.4014|56.4014|64.0282|64.0282|64.0282|64.0282|71.4826|71.4826|78.9371|78.9371|70.8577|70.8577|62.7783|62.7783|40.5033|40.5033|15.4267|15.4267|6.7687|6.7687|4.0017|4.0017|2.6057|2.6057|1.7260|1.7260|1.6326|1.6326|1.4854|1.4854|1.5180|1.5180|1.7688|1.7688|1.9213|1.9213|1.6960|1.6960|1.6525|1.6525|1.3755|1.3755|1.5607|1.5607|1.8018|1.8018|1.4221|1.4221|0.8208|0.8208|0.6826|0.6826|0.2772|0.2772|0.2087|0.2087|0.1188|0.1188
0.163|16.7847|16.7847|45.5766|45.5766|74.3685|74.3685|74.3685|74.3685|46.8420|46.8420|19.3156|19.3156|27.5568|27.5568|35.7980|35.7980|19.0086|19.0086|11.6745|11.6745|9.7990|9.7990|4.0376|4.0376|1.5148|1.5148|2.1866|2.1866|1.4836|1.4836|0.9723|0.9723|0.6274|0.6274|1.2265|1.2265|1.8821|1.8821|0.8814|0.8814|1.2918|1.2918|0.9584|0.9584|1.2901|1.2901|1.2349|1.2349|0.9561|0.9561|0.7859|0.7859|0.5424|0.5424|0.1824|0.1824|0.1282|0.1282|0.0663|0.0663
0.186|29.9056|29.9056|39.2146|39.2146|48.5237|48.5237|48.5237|48.5237|50.0877|50.0877|51.6517|51.6517|45.7342|45.7342|39.8168|39.8168|25.3244|25.3244|12.4041|12.4041|7.9332|7.9332|3.8687|3.8687|1.9369|1.9369|1.6178|1.6178|2.3049|2.3049|1.6679|1.6679|1.7639|1.7639|1.8486|1.8486|1.5326|1.5326|1.2935|1.2935|1.1880|1.1880|0.9616|0.9616|1.2103|1.2103|1.3705|1.3705|1.1117|1.1117|0.6119|0.6119|0.5330|0.5330|0.2067|0.2067|0.1574|0.1574|0.0756|0.0756
0.209|28.7541|28.7541|40.3955|40.3955|52.0368|52.0368|52.0368|52.0368|65.7072|65.7072|79.3776|79.3776|108.1376|108.1376|136.8976|136.8976|72.7805|72.7805|5.7938|5.7938|13.9071|13.9071|17.2295|17.2295|8.2021|8.2021|5.4446|5.4446|7.2236|7.2236|16.6966|16.6966|11.3245|11.3245|12.3642|12.3642|12.8532|12.8532|8.7707|8.7707|10.3760|10.3760|5.9526|5.9526|8.4831|8.4831|5.5378|5.5378|8.8075|8.8075|4.8321|4.8321|2.7562|2.7562|1.9806|1.9806|1.8100|1.8100|0.9496|0.9496
