0.000|11.0793|11.0793|11.0793|11.0793|10.1049|10.1049|9.1304|9.1304|9.1304|9.1304|9.1304|9.1304|9.1304|9.1304|10.3322|10.3322|11.5339|11.5339|17.3841|17.3841|23.2343|23.2343|29.4198|29.4198|39.7907|39.7907|46.0746|46.0746|47.7978|47.7978|52.4841|52.4841|43.6028|43.6028|17.7771|17.7771|12.2178|12.2178|7.5930|7.5930|5.8855|5.8855|4.9514|4.9514|5.2440|5.2440|5.8470|5.8470|8.4280|8.4280|3.6913|3.6913|0.9711|0.9711|1.6526|1.6526|1.0625|1.0625|0.7071|0.7071|0.3864|0.3864|0.3214|0.3214|0.3055|0.3055
0.021|19.2639|19.2639|19.2639|19.2639|21.9295|21.9295|24.5951|24.5951|24.5951|24.5951|24.5951|24.5951|24.5951|24.5951|21.9900|21.9900|19.3849|19.3849|29.1412|29.1412|38.8976|38.8976|38.0080|38.0080|48.4464|48.4464|97.3758|97.3758|70.4007|70.4007|87.6057|87.6057|54.2497|54.2497|31.1148|31.1148|17.4612|17.4612|12.4498|12.4498|10.0959|10.0959|8.1093|8.1093|7.3786|7.3786|7.3133|7.3133|6.0600|6.0600|3.6977|3.6977|1.4849|1.4849|2.4960|2.4960|1.5553|1.5553|1.0179|1.0179|0.8360|0.8360|0.5420|0.5420|0.4620|0.4620
0.043|21.3320|21.3320|21.3320|21.3320|32.9494|32.9494|44.5667|44.5667|44.5667|44.5667|44.5667|44.5667|44.5667|44.5667|50.1256|50.1256|55.6844|55.6844|45.2958|45.2958|34.9072|34.9072|42.8648|42.8648|75.5224|75.5224|117.8281|117.8281|130.1590|130.1590|102.7956|102.7956|41.1097|41.1097|19.3014|19.3014|9.3531|9.3531|5.4529|5.4529|3.3896|3.3896|2.3783|2.3783|1.5953|1.5953|1.2299|1.2299|2.9089|2.9089|2.1484|2.1484|0.8412|0.8412|1.4716|1.4716|0.5196|0.5196|0.4878|0.4878|0.2027|0.2027|0.1954|0.1954|0.1315|0.1315
0.064|13.1858|13.1858|13.1858|13.1858|15.9674|15.9674|18.7491|18.7491|18.7491|18.7491|18.7491|18.7491|18.7491|18.7491|20.0807|20.0807|21.4123|21.4123|17.1614|17.1614|12.9105|12.9105|28.1599|28.1599|62.4815|62.4815|101.1784|101.1784|111.2946|111.2946|100.2828|100.2828|56.8927|56.8927|29.3299|29.3299|17.3921|17.3921|12.6293|12.6293|9.1569|9.1569|8.2901|8.2901|7.7627|7.7627|8.5780|8.5780|10.1526|10.1526|4.7497|4.7497|1.3339|1.3339|3.8030|3.8030|1.6766|1.6766|1.1879|1.1879|1.0056|1.0056|0.4599|0.4599|0.3784|0.3784
0.085|22.0999|22.0999|22.0999|22.0999|35.4109|35.4109|48.7219|48.7219|48.7219|48.7219|48.7219|48.7219|48.7219|48.7219|40.5958|40.5958|32.4697|32.4697|41.2342|41.2342|49.9988|49.9988|55.4114|55.4114|58.8004|58.8004|100.2695|100.2695|80.7803|80.7803|83.3069|83.3069|41.1447|41.1447|21.3918|21.3918|10.9478|10.9478|6.9253|6.9253|4.8418|4.8418|3.6997|3.6997|3.0940|3.0940|2.5621|2.5621|2.1496|2.1496|2.2725|2.2725|1.0030|1.0030|1.3213|1.3213|0.7376|0.7376|0.5589|0.5589|0.3590|0.3590|0.2831|0.2831|0.2341|0.2341
0.107|22.3873|22.3873|22.3873|22.3873|22.3224|22.3224|22.2574|22.2574|22.2574|22.2574|22.2574|22.2574|22.2574|22.2574|18.3739|18.3739|14.4904|14.4904|24.1008|24.1008|33.7111|33.7111|61.2809|61.2809|111.2758|111.2758|114.4764|114.4764|52.6524|52.6524|80.0636|80.0636|98.3340|98.3340|30.6626|30.6626|21.7495|21.7495|13.5588|13.5588|10.8373|10.8373|9.9027|9.9027|8.5828|8.5828|7.8649|7.8649|9.9341|9.9341|4.6200|4.6200|1.8450|1.8450|3.8035|3.8035|1.8817|1.8817|1.3074|1.3074|1.0731|1.0731|0.7065|0.7065|0.5933|0.5933
0.128|34.5607|34.5607|34.5607|34.5607|34.6342|34.6342|34.7076|34.7076|34.7076|34.7076|34.7076|34.7076|34.7076|34.7076|33.4023|33.4023|32.0970|32.0970|41.4108|41.4108|50.7245|50.7245|45.6223|45.6223|56.3124|56.3124|100.8818|100.8818|61.4818|61.4818|74.0171|74.0171|45.1921|45.1921|28.3911|28.3911|14.8938|14.8938|9.2487|9.2487|6.8927|6.8927|5.6550|5.6550|4.4377|4.4377|3.9850|3.9850|2.9946|2.9946|2.6834|2.6834|1.4543|1.4543|1.5328|1.5328|1.0900|1.0900|0.7867|0.7867|0.6380|0.6380|0.5107|0.5107|0.4604|0.4604
0.149|13.4141|13.4141|13.4141|13.4141|24.7088|24.7088|36.0035|36.0035|36.0035|36.0035|36.0035|36.0035|36.0035|36.0035|41.5164|41.5164|47.0293|47.0293|37.7161|37.7161|28.4030|28.4030|35.3057|35.3057|65.8626|65.8626|106.6938|106.6938|109.0264|109.0264|91.2476|91.2476|39.5911|39.5911|18.5986|18.5986|9.1821|9.1821|5.5013|5.5013|3.8653|3.8653|2.9423|2.9423|2.8121|2.8121|3.9395|3.9395|6.7153|6.7153|2.6511|2.6511|0.3987|0.3987|2.3037|2.3037|0.7528|0.7528|0.4301|0.4301|0.3967|0.3967|0.1732|0.1732|0.1336|0.1336
0.171|8.1786|8.1786|8.1786|8.1786|25.1750|25.1750|42.1715|42.1715|42.1715|42.1715|42.1715|42.1715|42.1715|42.1715|48.2996|48.2996|54.4278|54.4278|41.0696|41.0696|27.7114|27.7114|34.3001|34.3001|65.6931|65.6931|104.3636|104.3636|97.0942|97.0942|84.5688|84.5688|55.6133|55.6133|30.0437|30.0437|18.6397|18.6397|15.0391|15.0391|11.1702|11.1702|8.7821|8.7821|6.8525|6.8525|7.4169|7.4169|8.3709|8.3709|4.2469|4.2469|1.3899|1.3899|3.0957|3.0957|1.6479|1.6479|0.9264|0.9264|0.8066|0.8066|0.3509|0.3509|0.2069|0.2069
0.192|20.9883|20.9883|20.9883|20.9883|31.7402|31.7402|42.4921|42.4921|42.4921|42.4921|42.4921|42.4921|42.4921|42.4921|36.4322|36.4322|30.3722|30.3722|37.2874|37.2874|44.2025|44.2025|50.2607|50.2607|54.0680|54.0680|93.0982|93.0982|67.2547|67.2547|71.2317|71.2317|36.1304|36.1304|18.3230|18.3230|8.3409|8.3409|5.0380|5.0380|3.2829|3.2829|2.5537|2.5537|2.1034|2.1034|2.8022|2.8022|5.8554|5.8554|2.5306|2.5306|0.8082|0.8082|1.9973|1.9973|0.6758|0.6758|0.4338|0.4338|0.4074|0.4074|0.2896|0.2896|0.2674|0.2674
0.213|26.4083|26.4083|26.4083|26.4083|27.8033|27.8033|29.1983|29.1983|29.1983|29.1983|29.1983|29.1983|29.1983|29.1983|26.6514|26.6514|24.1046|24.1046|27.1799|27.1799|30.2553|30.2553|53.7967|53.7967|96.3202|96.3202|101.1845|101.1845|57.8404|57.8404|78.1735|78.1735|89.9539|89.9539|38.7334|38.7334|21.0700|21.0700|14.4245|14.4245|11.6995|11.6995|9.3979|9.3979|7.8603|7.8603|8.2789|8.2789|9.1003|9.1003|4.8683|4.8683|1.8098|1.8098|3.3849|3.3849|1.9132|1.9132|1.1686|1.1686|1.0264|1.0264|0.6800|0.6800|0.5960|0.5960
